nombre_producto,precio_regular,precio_oferta,descripcion_corta,cantidad_presentacion,categoria,slug,stock
Candida Cleanse - Limpieza Interna Natural para Recuperar el Equilibrio Digestivo,110.9,79.9,"¿Te sientes hinchado, pesado o sin energía aunque comas bien? No estás solo. El desequilibrio interno es una de las principales razones por las que muchas personas se sienten incómodas, cansadas y con digestiones lentas. Candida Cleanse ha sido creado para quienes buscan sentirse livianos otra vez, recuperar el equilibrio interno y apoyar su bienestar digestivo de forma natural. Es más que un suplemento: es un reset interno para tu cuerpo. Lo que Candida Cleanse puede hacer por ti Ayuda a limpiar suavemente el sistema digestivo Favorece el equilibrio natural de la flora intestinal Reduce la sensación de hinchazón y pesadez Apoya una digestión más cómoda y regular Contribuye a sentirte con más energía y bienestar Fórmula Natural que Trabaja Desde el Interior Nuestra fórmula combina ingredientes naturales cuidadosamente seleccionados, utilizados tradicionalmente para apoyar procesos de limpieza interna y equilibrio digestivo, sin químicos agresivos. Ideal para quienes desean: Sentirse más ligeros Mejorar su confort digestivo Acompañar dietas detox o cambios de hábitos Cuidar su cuerpo de manera natural Modo de uso recomendado Dosis diaria: Tomar 2 cápsulas al día. Cuándo tomarlas: Lo ideal es 1 cápsula por la mañana, junto con el desayuno, y 1 cápsula por la noche, después de la cena. Si lo prefieres, también puedes tomar ambas cápsulas juntas después de una comida principal. Cómo acompañarlas: Siempre con un vaso de agua para favorecer la absorción. Duración sugerida: Se recomienda usarlo de manera continua durante al menos 30 días para obtener mejores resultados y hasta 8-12 semanas si lo indica tu plan o profesional de salud. Advertencias Producto para adultos. No usar durante embarazo o lactancia. Si usas medicamentos o tienes condiciones de salud específicas, consulta a tu médico antes de comenzar. Consejos adicionales para mejores resultados Combínalo con una dieta baja en azúcares y carbohidratos refinados, mucha agua y hábitos saludables generales (como ejercicio moderado). Algunas personas pueden notar un ""efecto detox"" leve al inicio (por ejemplo, gases o malestar temporal), lo cual puede ser normal; si es intenso, consulta a un profesional. Compra con confianza Fórmula de calidad Apto para hombres y mujeres Ideal para uso diario Pensado para tu bienestar integral",,Digestive Supplements,candida-cleanse-limpieza-interna-natural-para-recuperar-el-equilibrio-digestivo,90
BBL Gomitas SOTTCOR - Aguaje y Maca Roja (130 Gomitas),60.0,48.0,"¡Potencia tu figura y energía de forma natural! ¿Buscas resaltar tus curvas y sentirte con más vitalidad? Nuestras BBL Gomitas combinan superalimentos como el Aguaje y la Maca Roja para ayudarte a lograr tu mejor versión. Efecto Moldeador: Favorece el crecimiento y firmeza en glúteos y pechos. Equilibrio Hormonal: Ayuda a regular las hormonas de manera natural. Energía y Rendimiento: Mejora tu resistencia durante el entrenamiento. Bienestar Femenino: Contribuye a mejorar la fertilidad y reducir la inflamación post-ejercicio. Detalles del producto: Ingredientes Clave: Aguaje, Maca Roja, Garcinia Cambogia y Magnesio. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: 3 gomitas diarias. Certificaciones: Libre de gluten, lactosa y GMO. Registro Sanitario: G7706724N. ¡Siéntete segura, activa y radiante!",130 gomitas,Herbal Supplements,bbl-gomitas-sottcor-aguaje-y-maca-roja-130-gomitas,100
Colágeno con Biotina Gomitas SOTTCOR - 130 Gomitas,60.0,48.0,"¡Tu secreto de belleza en una gomita! ¿Cansada de cápsulas difíciles de tragar? Cuida tu piel, cabello y uñas de la forma más rica. Nuestras gomitas están diseñadas para resaltar tu brillo natural y fortalecer tu cuerpo desde el interior. Piel Radiante: Incrementa la hidratación para una apariencia más saludable. Cabello y Uñas: La Biotina mejora la producción de queratina, promoviendo el crecimiento y la resistencia. Articulaciones Fuertes: Ayuda a mantener la salud y movilidad de tus articulaciones. Cicatrización: Acelera la reparación de heridas y la regeneración de tejidos. ¡Empieza hoy tu cambio! Detalles del producto: Fórmula Completa: Contiene 14 elementos esenciales, incluyendo Vitaminas y Minerales. Contenido: 130 gomitas (Tratamiento para 43 días). Modo de uso: Solo 3 gomitas diarias. Garantía de Calidad: Libre de gluten, lactosa y GMO. Registro Sanitario: G7704224N. ¡Empieza hoy tu cambio y siéntete increíble!",130 gomitas,Collagen,colageno-con-biotina-gomitas-sottcor-130-gomitas,100
Gomitas RE.NA.C. Sottcor - Resveratrol y Vitamina B3,60.0,48.0,"¡Renace desde el interior con el poder del Resveratrol! ¿Quieres detener el paso del tiempo en tu piel? Descubre RE.NA.C., nuestra fórmula avanzada en gomitas diseñada para proteger tus células y devolverle la vitalidad a tu rostro y cuerpo. ⏳ Efecto Anti-edad: Retrasa el envejecimiento celular de forma natural. Piel de Seda: Favorece la producción de colágeno y fortalece la barrera cutánea. Escudo Protector: Protege contra el daño celular oxidativo gracias a sus antioxidantes. Energía Vital: Aumenta tu energía a nivel celular para sentirte renovada. Detalles del producto: Ingredientes Estrella: Uva en polvo (Resveratrol) y Vitamina B3 (NAD). Contenido: 130 gomitas (Tratamiento para más de un mes). Calidad Premium: Fórmula con ingredientes científicamente respaldados. Certificaciones: Libre de gluten, lactosa y GMO. ¡Regálale a tu piel el cuidado que merece!",130 gomitas,Herbal Supplements,gomitas-re-na-c-sottcor-resveratrol-y-vitamina-b3,100
Gomitas GOFOS Sottcor - Fibra Prebiótica y Probióticos (130 Gomitas),60.0,48.0,"¡Tu bienestar empieza desde adentro! ¿Sientes pesadez o mala digestión? Nuestras gomitas GOFOS son el aliado perfecto para cuidar tu salud intestinal de forma deliciosa y práctica. Gracias a su combinación de fibra prebiótica y probióticos, recuperarás tu ligereza natural. Digestión Eficiente: Ayudan a mantener un sistema digestivo saludable y regular. Equilibrio de la Microbiota: Incrementa las bacterias beneficiosas para tu intestino. Defensa Natural: Los probióticos defienden tu sistema de microorganismos nocivos y fortalecen la inmunidad. Mejor Absorción: Facilita que tu cuerpo aproveche al máximo las vitaminas y minerales de tus alimentos. Detalles del producto: Ingredientes Clave: Fibra Prebiótica y Probióticos. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: 3 gomitas diarias. Garantía: Registro Sanitario G7709424N. Libre de gluten, lactosa y GMO. ¡Siéntete ligero y protegido todos los días!",130 gomitas,Digestive Supplements,gomitas-gofos-sottcor-fibra-prebiotica-y-probioticos-130-gomitas,100
Gomitas de Cúrcuma + Pimienta Negra Sottcor (130 Gomitas),60.0,48.0,"¡Dile adiós a las molestias y protege tu cuerpo naturalmente! ¿Sientes pesadez abdominal o dolores articulares? Nuestras gomitas de Cúrcuma potenciadas con Pimienta Negra son el aliado perfecto para combatir la inflamación y fortalecer tu salud diaria con un sabor delicioso. Alivio de la Inflamación: Reduce significativamente las molestias, especialmente en el área abdominal. Cuidado Articular: Disminuye dolores en las articulaciones, ideal para quienes sufren de artritis o reumatismo. Potente Antioxidante: Protege tus células del daño oxidativo y ayuda a prevenir el envejecimiento prematuro. Protección Total: Contribuye a combatir el hígado graso y ayuda a controlar la presión arterial. Detalles del producto: Fórmula Avanzada: Cúrcuma con Pimienta Negra para una máxima absorción. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: 3 gomitas al día. Certificaciones: Libre de gluten, lactosa y GMO. Registro Sanitario G7714824N. ¡Recupera tu bienestar y muévete sin límites!",130 gomitas,Herbal Supplements,gomitas-de-curcuma-pimienta-negra-sottcor-130-gomitas,100
Gomitas de Citrato de Magnesio Sottcor (130 Gomitas),60.0,48.0,"¡Regálale a tu cuerpo el descanso y la calma que necesita! ¿Sufres de estrés, falta de sueño o migrañas constantes? Nuestras gomitas de Citrato de Magnesio enriquecidas con miel son la solución natural para equilibrar tu sistema nervioso y mejorar tu calidad de vida de forma deliciosa. Descanso Reparador: Favorece un sueño profundo y de mejor calidad. Adiós al Estrés: Ayuda a reducir significativamente los niveles de estrés y ansiedad diaria. Bienestar Cerebral: Contribuye a la transmisión adecuada de señales nerviosas y ayuda a prevenir migrañas. Apoyo Digestivo: Ayuda a aliviar el estreñimiento, mejorando el tránsito intestinal de manera suave. Detalles del producto: Fórmula Especial: Enriquecida con miel para un beneficio extra y gran sabor. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: Solo 3 gomitas diarias. Garantía: Registro Sanitario G7703724N. Libre de gluten, lactosa y GMO. ¡Recupera tu energía y vive en equilibrio!",130 gomitas,Minerals,gomitas-de-citrato-de-magnesio-sottcor-130-gomitas,100
Gomitas de Espirulina + Selenio Sottcor (130 Gomitas),60.0,48.0,"¡Limpia tu cuerpo y refuerza tus defensas naturalmente! ¿Sientes que tu cuerpo necesita un ""reset""? Nuestras gomitas de Espirulina y Selenio son el superalimento ideal para eliminar lo que tu cuerpo no necesita y proteger tu salud desde el interior. Una fórmula potente diseñada para una desintoxicación profunda y un sistema inmune invencible. Desintoxicación Total: Ayuda a eliminar toxinas y metales pesados acumulados en el cuerpo. Defensas Imbatibles: Fortalece el sistema inmunológico, mejorando la respuesta de tu organismo. Salud Tiroidea: Protege la tiroides del daño oxidativo y reduce la inflamación. Cuidado Cardiovascular: Ayuda a disminuir los niveles de colesterol LDL (malo) y triglicéridos. Poder Antioxidante: Combate los radicales libres para prevenir el envejecimiento celular. Detalles del producto: Fórmula Enriquecida: Contiene Zinc y Vitaminas A y E para un soporte nutricional completo. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: Solo 3 gomitas diarias. Garantía: Registro Sanitario G7704524N. Libre de gluten, lactosa y GMO. ¡Siéntete más ligero, protegido y lleno de vida!",130 gomitas,Herbal Supplements,gomitas-de-espirulina-selenio-sottcor-130-gomitas,97
Gomitas Maca Negra + Huanarpo Macho Sottcor (100 Gomitas),60.0,48.0,"¡Recupera tu vitalidad y potencia tu rendimiento! ¿Sientes cansancio acumulado o falta de energía en tu día a día? Nuestras gomitas de Maca Negra y Huanarpo Macho son el suplemento natural definitivo para potenciar tu fuerza, mejorar tu desempeño y mantener un equilibrio hormonal saludable. Energía Total: Aumenta la vitalidad y combate el cansancio físico de forma efectiva. Desempeño Potenciado: Incrementa la libido y optimiza la función sexual. Balance Hormonal: Promueve el equilibrio de las hormonas en el cuerpo. Menos Estrés: Ayuda a calmar y mejorar la respuesta del organismo ante el estrés diario. Salud Integral: Favorece el bienestar de la próstata y el sistema urinario. Detalles del producto: Fórmula Potenciada: Contiene Achiote, Uña de Gato, Jengibre, Zinc, Magnesio y Vitamina D. Contenido: 100 gomitas. Dosis recomendada: Solo 3 gomitas al día. Certificaciones: Libre de gluten, lactosa y GMO. Registro Sanitario G7712424N. ¡Siéntete imparable y con energía renovada!",100 gomitas,Herbal Supplements,gomitas-maca-negra-huanarpo-macho-sottcor-100-gomitas,100
Gomitas de Hierro + Moringa y Vitaminas (130 Gomitas),60.0,48.0,"¡Fortalece tu sangre y recupera tu energía vital! ¿Te sientes cansado o con falta de ánimo durante el día? Nuestras gomitas enriquecidas con Hierro, Aceite de Moringa y Vitamina C son el apoyo nutricional perfecto para combatir la anemia y mantener tus niveles de energía al máximo. Combate la Anemia: Ayuda en el tratamiento y favorece la prevención de la anemia. Mejor Oxigenación: Facilita el transporte de oxígeno a través de la sangre a todos tus tejidos. Energía Renovada: Reduce significativamente la sensación de cansancio y fatiga diaria. Máxima Absorción: La Vitamina C aumenta la biodisponibilidad del hierro en tu organismo. Bienestar General: Ayuda a regular el nivel del apetito de forma saludable. Detalles del producto: Fórmula Reforzada: Hierro, Aceite de Moringa, Vitamina C, B9 y B12. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: Solo 3 gomitas diarias. Garantía: Registro Sanitario G7704024N. Libre de gluten, lactosa y GMO. ¡Dale a tu cuerpo la fuerza que necesita para brillar!",130 gomitas,Multivitamin Supplements,gomitas-de-hierro-moringa-y-vitaminas-130-gomitas,100
Gomitas de Calcio + Vit. D-Metionina y Ácido Fólico (130 Gomitas),60.0,48.0,"¡Huesos fuertes y músculos sanos para una vida activa! ¿Quieres proteger tu estructura ósea y asegurar que tu cuerpo funcione al 100%? Nuestras gomitas enriquecidas con Calcio y Vitamina D son el aliado esencial para prevenir el desgaste y fortalecer tus dientes y músculos de forma deliciosa. Huesos de Hierro: Apoya el desarrollo y mantenimiento óseo para evitar la osteoporosis. Sonrisa Fuerte: Fortalece los dientes y ayuda a prevenir caries o enfermedades de las encías. Función Muscular: Participa activamente en la contracción y relajación de tus músculos. Renovación Celular: El ácido fólico promueve la regeneración celular y contribuye al fortalecimiento de los huesos. Máxima Absorción: La Vitamina D facilita que tu organismo aproveche al máximo el calcio. Detalles del producto: Fórmula Completa: Calcio, Vitamina D, Metionina y Ácido Fólico enriquecidos con miel. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: Solo 3 gomitas diarias. Garantía: Registro Sanitario G7707124N. Libre de gluten, lactosa y GMO. ¡Dale a tu cuerpo el soporte que necesita para seguir adelante!",130 gomitas,Multivitamin Supplements,gomitas-de-calcio-vit-d-metionina-y-acido-folico-130-gomitas,96
Gomitas de Pitahaya Sottcor - Gran Aporte de Vitamina C (130 Gomitas),60.0,48.0,"¡Dale a tu cuerpo la fibra y vitalidad que necesita! ¿Buscas una forma natural y rica de mejorar tu digestión? Nuestras Gomitas de Pitahaya son la solución perfecta. Gracias a su alto contenido de fibra y Vitamina C, te ayudan a sentirte ligero mientras refuerzas tus defensas todos los días. Efecto Digestivo: La pitahaya es rica en fibra, promoviendo una digestión saludable y regulando el tránsito intestinal. Refuerzo Inmunológico: Su gran aporte de Vitamina C mejora la producción de glóbulos blancos para combatir infecciones. Acción Antioxidante: Protege tus células de los radicales libres, reduciendo el riesgo de envejecimiento prematuro. Salud de la Piel: Mejora la elasticidad de la piel y ayuda a reducir las líneas de expresión. Bienestar Cardiovascular: Protege las arterias y ayuda a regular los niveles de colesterol y triglicéridos. Detalles del producto: Contenido: 130 gomitas. Dosis: 3 gomitas al día. Garantía: Registro Sanitario G7714724N. Certificaciones: Libre de gluten, lactosa y GMO. ¡Mejora tu salud con el poder de la fruta!",130 gomitas,Multivitamin Supplements,gomitas-de-pitahaya-sottcor-gran-aporte-de-vitamina-c-130-gomitas,97
